year,Birth,Marriage,Current Price GDP,Emigrants,Immigrants,Industrial Disputes Number,Beer,Population(total),Population(M),Population(F),Students in universities,Tax Total,Customs,Excise,Land & Income & Property,VAT,Raw cotton consumption indicators,Raw wool consumption indicators (O),Raw wool consumption indicators (NI)
1750,,,,,,,948,,,,,7467,1537,3454,2212,,1000,,
1751,,,,,,,955,,,,,7097,1588,3468,1769,,1300,,
1752,,,,,,,939,,,,,6992,1635,3402,1685,,1500,,
1753,,,,,,,1098,,,,,7338,1770,3582,1728,,1900,,
1754,,,,,,,927,,,,,6827,1587,3692,1288,,1400,,
1755,,,,,,,918,,,,,6938,1782,3660,1236,,1700,,
1756,,,,,,,942,,,,,7006,1699,3649,1375,,1200,,
1757,,,,,,,889,,,,,7969,1872,3303,2043,,800,,
1758,,,,,,,915,,,,,7946,1918,3477,2139,,900,,
1759,,,,,,,940,,,,,8155,1830,3615,2216,,1000,,
1760,,,,,,,1003,,,,,9207,2113,4218,2407,,800,,
1761,,,,,,,988,,,,,9594,2191,4671,2253,,1200,,
1762,,,,,,,945,,,,,9459,1824,4816,2386,,1300,,
1763,,,,,,,918,,,,,9793,2283,4793,2288,,1100,,
1764,,,,,,,920,,,,,10221,2282,5027,2316,,1700,,
1765,,,,,,,890,,,,,10928,2324,4935,2243,,1700,,
1766,,,,,,,897,,,,,10276,2514,4879,2225,,3100,,
1767,,,,,,,879,,,,,9868,2460,4521,2174,,1600,,
1768,,,,,,,896,,,,,10131,2453,4746,1895,,1800,,
1769,,,,,,,897,,,,,11130,2675,4961,1814,,1800,,
1770,,,,,,,898,,,,,11373,2841,5139,1796,,1500,,
1771,,,,,,,900,,,,,10987,2739,4842,1834,,1100,,
1772,,,,,,,898,,,,,11033,2457,4995,2092,,2200,,
1773,,,,,,,904,,,,,10487,2702,5141,1843,,1100,,
1774,,,,,,,864,,,,,10613,2557,4922,1821,,2400,,
1775,,,,,,,897,,,,,11112,2756,5106,1756,,2800,,
1776,,,,,,,922,,,,,10576,2684,5383,1875,,2700,,
1777,,,,,,,938,,,,,11105,2411,5252,2299,,2900,,
1778,,,,,,,956,,,,,11436,2348,5369,2497,,2700,,
1779,,,,,,,981,,,,,11853,2523,5625,2450,,2500,,
1780,,,,,,,1021,,,,,12524,2774,6081,2523,,3000,,
1781,,,,,,,1009,,,,,13280,3019,6111,2635,,2300,,
1782,,,,,,,1053,,,,,13765,2898,6420,2724,,5200,,
1783,,,,,,,931,,,,,12677,2949,5480,2596,,4300,,
1784,,,,,,,1000,,,,,13214,3026,6139,2460,,5100,,
